Distance, Key rate
10.00000000,0.00010333
24.96910398,0.00005594
31.16950987,0.00004859
35.92724864,0.00003077
39.93820797,0.00002882
43.47193407,0.00002502
46.66666667,0.00002009
49.60452649,0.00001965
52.33901974,0.00001602
54.90731195,0.00001374
57.33646312,0.00000986
59.64690136,0.00001151
61.85449729,0.00000918
63.97187196,0.00000857
66.00925849,0.00000966
67.97509044,0.00000752
69.87641593,0.00000784
71.71919685,0.00000555
73.50852961,0.00000655
75.24881154,0.00000489
76.94386814,0.00000446
78.59705209,0.00000533
80.21132124,0.00000317
81.78930076,0.00000423
83.33333333,0.00000418
84.84551992,0.00000240
86.32775331,0.00000273
87.78174593,0.00000291
89.20905298,0.00000446
90.61109197,0.00000326
91.98915917,0.00000336
93.34444370,0.00000293
94.67803948,0.00000247
95.99095560,0.00000254
97.28412524,0.00000136
98.55841345,0.00000185
99.81462390,0.00000264
101.05350482,0.00000144
102.27575421,0.00000209
103.48202442,0.00000182
104.67292624,0.00000202
105.84903253,0.00000090
107.01088141,0.00000194
108.15897914,0.00000189
109.29380272,0.00000151
110.41580221,0.00000161
111.52540277,0.00000145
112.62300659,0.00000101
113.70899457,0.00000177
114.78372789,0.00000084
115.84754935,0.00000000
116.90078474,0.00000127
117.94374392,0.00000048
118.97672195,0.00000094
120.00000000,0.00000105
