Distance (Km), Key rate (bit/s)
10.00000000,0.00011590
25.71428571,0.00005612
32.22335598,0.00004053
37.21794126,0.00003212
41.42857143,0.00002684
45.13821107,0.00002185
48.49198167,0.00001823
51.57609203,0.00001490
54.44671196,0.00001312
57.14285714,0.00000955
59.69293466,0.00001352
62.11838956,0.00000893
64.43588252,0.00000892
66.65866290,0.00000592
68.79747322,0.00000720
70.86116687,0.00000583
72.85714286,0.00000546
74.79165983,0.00000494
76.67006794,0.00000769
78.49698340,0.00000334
80.27642215,0.00000478
82.01190378,0.00000352
83.70653337,0.00000401
85.36306679,0.00000282
86.98396334,0.00000220
88.57142857,0.00000270
90.12744950,0.00000321
91.65382379,0.00000364
93.15218406,0.00000268
94.62401840,0.00000243
96.07068761,0.00000198
97.49343999,0.00000266
98.89342392,0.00000234
100.27169873,0.00000273
101.62924406,0.00000273
102.96696802,0.00000217
104.28571429,0.00000141
105.58626833,0.00000167
106.86936290,0.00000116
108.13568283,0.00000124
109.38586932,0.00000069
110.62052373,0.00000117
111.84021097,0.00000078
113.04546252,0.00000124
114.23677913,0.00000157
115.41463322,0.00000119
116.57947116,0.00000117
117.73171515,0.00000065
118.87176505,0.00000159
120.00000000,0.00000118
